# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
Foster St Cafe,-37.9896,145.2107,cafe,STANDALONE_PARKING,37,surface,0
Fourseas Chinese,-38.0517,145.1153,restaurant,STANDALONE_PARKING,49,surface,4
Frank's,-37.9578,145.0662,cafe,STANDALONE_PARKING,53,street_side,0
Fresh Noodle,-37.9865,145.2138,restaurant,STANDALONE_PARKING,71,surface,2
Fresh Poultry Daily,-37.972,145.1496,butcher,MALL,44,surface,9
Frozen Mart,-37.9503,145.151,supermarket,MALL,21,surface,24
Fujiya House,-37.9585,145.0514,restaurant,MALL,15,surface,3
Full Turn Kitchen Bar,-37.9547,145.0259,cafe,STANDALONE,430,surface,1
G Plus Coffee,-37.9663,145.057,cafe,STANDALONE_PARKING,74,street_side,1
Gabby’s,-38.0526,145.1168,fast_food,STANDALONE,151,surface,2
Garden Boulevard Cafe,-37.9831,145.1141,cafe,STANDALONE_PARKING,41,surface,0
General Public,-37.9742,145.1122,restaurant,STANDALONE_PARKING,9,surface,0
Ghin Thai,-37.9656,145.1742,restaurant,MALL,38,surface,9
Gibe African,-37.9903,145.2134,restaurant,STANDALONE_PARKING,56,surface,0
Gloria Jean's,-37.9932,145.1737,cafe,MALL,49,surface,5
Gloria Jean's,-37.9504,145.1514,cafe,STRIP,19,surface,32
Gloria Jean's,-37.9721,145.0887,cafe,MALL,52,surface,0
Gold Leaf Chinese Restaurant,-37.9506,145.151,restaurant,MALL,16,surface,27
Goldeluck's Doughnuts,-38.0674,145.1438,fast_food,MALL,31,surface,11
Golden Age Bread & Cake,-37.9504,145.151,bakery,MALL,24,surface,27
Golden Chopstix,-37.9515,145.1509,restaurant,STRIP,70,street_side,10
Golden Lake,-37.9513,145.1515,bakery,MALL,69,surface,19
Golden Thai,-37.9532,145.0627,restaurant,STANDALONE_PARKING,5,street_side,3
Gong Cha,-37.9506,145.1515,cafe,STRIP,21,surface,30
Gotcha,-37.9508,145.1513,cafe,STRIP,11,surface,31
Gracy's Cafe,-38.0199,145.0993,cafe,STANDALONE_PARKING,20,street_side,2
Grand Diamond Reception,-37.9622,145.1433,restaurant,STRIP,31,surface,6
Grand Diamond Restaurant,-37.987,145.2123,restaurant,STANDALONE_PARKING,48,surface,4
Green Healthy Groceries Tân Hưng Phát,-37.9539,145.1513,convenience,STANDALONE_PARKING,18,surface,4
Green Thai,-37.9579,145.0531,restaurant,MALL,65,surface,16
Grill'd,-37.9579,145.0762,fast_food,STANDALONE_PARKING,44,surface,0
Gulistan Supermarket,-37.9881,145.2125,supermarket,STRIP,55,surface,6
Gurudwarra Sri Guru Granth Sahib Keysborough Langar Hall,-38.0151,145.1746,fast_food,STANDALONE_PARKING,46,surface,0
Guzel Istanbul,-37.9811,145.0698,restaurant,STANDALONE,133,surface,3
Guzman y Gomez,-37.9702,145.0928,fast_food,MALL,82,surface,2
